G,T,K,OD1,OD2,OD3
65.0,25.0,5.0,0.3695,0.3727,0.3698
56.0,28.0,1.0,0.334,0.3488,0.3512
56.0,28.0,3.0,0.3504,0.3447,0.3429
56.0,28.0,5.0,0.3555,0.3508,0.3433
60.0,28.0,1.0,0.3427,0.3523,0.3369
60.0,28.0,3.0,0.3516,0.3481,0.3434
60.0,28.0,5.0,0.3477,0.3458,0.3452
64.0,28.0,1.0,0.34,0.3601,0.3478
64.0,28.0,3.0,0.3614,0.3563,0.3551
64.0,28.0,5.0,0.3551,0.3581,0.3447
32.0,25.0,1.0,0.3679,0.3639,0.3668
32.0,25.0,3.0,0.367,0.3629,0.3626
32.0,25.0,5.0,0.3659,0.3669,0.3626
32.0,28.0,1.0,0.3451,0.352,0.3451
32.0,28.0,3.0,0.3358,0.3402,0.3396
32.0,28.0,5.0,0.3441,0.3421,0.3433
45.0,14.0,1.0,0.3793,0.3681,0.3678
45.0,14.0,3.0,0.3794,0.3748,0.3771
45.0,14.0,5.0,0.3678,0.3846,0.3741
48.0,14.0,1.0,0.3944,0.4011,0.3927
48.0,14.0,3.0,0.3977,0.3866,0.3864
48.0,14.0,5.0,0.3977,0.3875,0.3917
50.0,14.0,1.0,0.396,0.4036,0.4032
50.0,14.0,3.0,0.4004,0.3957,0.4031
50.0,14.0,5.0,0.4002,0.402,0.404
52.0,14.0,1.0,0.4046,0.4085,0.4097
52.0,14.0,3.0,0.4093,0.4032,0.4065
52.0,14.0,5.0,0.4071,0.4108,0.4045
54.0,14.0,1.0,0.4078,0.4059,0.4065
54.0,14.0,3.0,0.4037,0.3992,0.4013
54.0,14.0,5.0,0.4131,0.4053,0.4058
56.0,14.0,1.0,0.4149,0.4039,0.3996
56.0,14.0,3.0,0.4022,0.4015,0.4059
56.0,14.0,5.0,0.4081,0.4078,0.4011
58.0,14.0,1.0,0.4073,0.3952,0.4123
58.0,14.0,3.0,0.4048,0.4044,0.3962
58.0,14.0,5.0,0.4064,0.3971,0.3974
60.0,14.0,1.0,0.3878,0.4026,0.3978
60.0,14.0,3.0,0.3969,0.3887,0.3894
60.0,14.0,5.0,0.3973,0.3893,0.3867
48.0,13.0,1.0,0.3937,0.3918,0.3931
48.0,13.0,3.0,0.3934,0.3922,0.3925
48.0,13.0,5.0,0.3886,0.3847,0.3908
50.0,13.0,1.0,0.4094,0.4058,0.4057
50.0,13.0,3.0,0.4127,0.4122,0.4033
50.0,13.0,5.0,0.4066,0.4135,0.4101
52.0,13.0,1.0,0.4073,0.4167,0.4145
52.0,13.0,3.0,0.4166,0.4185,0.4143
52.0,13.0,5.0,0.4109,0.4077,0.4109
54.0,13.0,1.0,0.4062,0.4128,0.4201
54.0,13.0,3.0,0.414,0.4166,0.4191
54.0,13.0,5.0,0.4253,0.4095,0.4146
56.0,13.0,1.0,0.4141,0.4066,0.414
56.0,13.0,3.0,0.4104,0.4151,0.412
56.0,13.0,5.0,0.4064,0.4169,0.407
58.0,13.0,1.0,0.4089,0.3978,0.4086
58.0,13.0,3.0,0.4108,0.4132,0.4077
58.0,13.0,5.0,0.4096,0.4122,0.4099
45.0,12.0,1.0,0.373,0.3773,0.3745
45.0,12.0,3.0,0.3779,0.3784,0.3779
45.0,12.0,5.0,0.3815,0.368,0.3737
48.0,12.0,1.0,0.3958,0.3968,0.4029
48.0,12.0,3.0,0.3991,0.3984,0.402
48.0,12.0,5.0,0.3954,0.3998,0.3936
50.0,12.0,1.0,0.4076,0.4074,0.4131
50.0,12.0,3.0,0.4173,0.4133,0.4187
50.0,12.0,5.0,0.4069,0.4038,0.407
52.0,12.0,1.0,0.4093,0.4124,0.4143
52.0,12.0,3.0,0.4149,0.4052,0.4164
52.0,12.0,5.0,0.4224,0.4155,0.4167
54.0,12.0,1.0,0.4176,0.4195,0.4199
54.0,12.0,3.0,0.4246,0.4188,0.425
54.0,12.0,5.0,0.4244,0.4145,0.4296
56.0,12.0,1.0,0.4098,0.4136,0.4088
56.0,12.0,3.0,0.4144,0.4181,0.419
56.0,12.0,5.0,0.4182,0.4111,0.4178
58.0,12.0,1.0,0.4098,0.4086,0.409
58.0,12.0,3.0,0.4055,0.41,0.4142
58.0,12.0,5.0,0.4175,0.4139,0.4119
60.0,12.0,1.0,0.4027,0.4031,0.3998
60.0,12.0,3.0,0.4074,0.3948,0.3966
60.0,12.0,5.0,0.3953,0.4067,0.3989
45.0,11.0,1.0,0.3777,0.375,0.3736
45.0,11.0,3.0,0.3795,0.3829,0.3686
45.0,11.0,5.0,0.3728,0.3729,0.3761
48.0,11.0,1.0,0.3961,0.3979,0.3921
48.0,11.0,3.0,0.3976,0.3927,0.3966
48.0,11.0,5.0,0.3945,0.3997,0.4025
50.0,11.0,1.0,0.4052,0.4146,0.4191
50.0,11.0,3.0,0.4113,0.402,0.4133
50.0,11.0,5.0,0.4115,0.3937,0.4031
52.0,11.0,1.0,0.4193,0.4212,0.4204
52.0,11.0,3.0,0.4159,0.4139,0.4211
52.0,11.0,5.0,0.4275,0.4296,0.4176
54.0,11.0,1.0,0.4265,0.4188,0.4179
54.0,11.0,3.0,0.421,0.417,0.4232
54.0,11.0,5.0,0.4146,0.4249,0.4263
56.0,11.0,1.0,0.4212,0.4182,0.4234
56.0,11.0,3.0,0.4221,0.4155,0.42
56.0,11.0,5.0,0.4172,0.4129,0.4126
58.0,11.0,1.0,0.4015,0.4119,0.4072
58.0,11.0,3.0,0.4098,0.4083,0.4019
58.0,11.0,5.0,0.409,0.4138,0.4088
60.0,11.0,1.0,0.3967,0.4015,0.3992
60.0,11.0,3.0,0.4004,0.4089,0.3952
60.0,11.0,5.0,0.3959,0.3919,0.3942
45.0,10.0,1.0,0.3755,0.378,0.3764
45.0,10.0,3.0,0.3646,0.3747,0.3836
45.0,10.0,5.0,0.3683,0.3706,0.378
48.0,10.0,1.0,0.4003,0.3874,0.3923
48.0,10.0,3.0,0.3952,0.3993,0.4004
48.0,10.0,5.0,0.393,0.3872,0.393
50.0,10.0,1.0,0.4168,0.4042,0.413
50.0,10.0,3.0,0.4116,0.407,0.4081
50.0,10.0,5.0,0.4062,0.4138,0.4074
52.0,10.0,1.0,0.4185,0.4142,0.4077
52.0,10.0,3.0,0.4201,0.4219,0.4167
52.0,10.0,5.0,0.413,0.4219,0.4149
54.0,10.0,1.0,0.4205,0.4225,0.4252
54.0,10.0,3.0,0.4134,0.4301,0.4187
54.0,10.0,5.0,0.4236,0.4233,0.4332
56.0,10.0,1.0,0.419,0.4193,0.4185
56.0,10.0,3.0,0.4275,0.4212,0.422
56.0,10.0,5.0,0.4233,0.4221,0.4205
58.0,10.0,1.0,0.4094,0.4139,0.415
58.0,10.0,3.0,0.4117,0.4177,0.4068
58.0,10.0,5.0,0.4037,0.4199,0.4118
60.0,10.0,1.0,0.401,0.3975,0.4053
60.0,10.0,3.0,0.4023,0.4081,0.3967
60.0,10.0,5.0,0.3979,0.3957,0.401
45.0,9.0,1.0,0.3784,0.3705,0.361
45.0,9.0,3.0,0.3552,0.3687,0.3706
45.0,9.0,5.0,0.3647,0.3737,0.3618
48.0,9.0,1.0,0.401,0.3917,0.3836
48.0,9.0,3.0,0.4017,0.3883,0.3994
48.0,9.0,5.0,0.3989,0.394,0.3852
50.0,9.0,1.0,0.4147,0.4099,0.4087
50.0,9.0,3.0,0.4105,0.4059,0.4018
50.0,9.0,5.0,0.4087,0.3996,0.4038
